user,message
Rishav Ranaut(MnC) Roommate,"bhai 2nd year me sbki lgegi tension mt lo
"
Rishav Ranaut(MnC) Roommate,"pta kr lia
"
Sovan MnC,"Wo to pata he
"
Souvik IIT Patna MnC,"Pata hai bhai
"
Ashish Mnc,"To tu vaha ye puchne gya tha bsdk?
"
Rishav Ranaut(MnC) Roommate,"nhi
"
Rishav Ranaut(MnC) Roommate,"daivik bhaiya se pucha
"
Souvik IIT Patna MnC,"Toh kaise pata tumhe?
"
Rishav Ranaut(MnC) Roommate,"teri bndi ne btaya
"
Souvik IIT Patna MnC,"Kya pucha humlog ka kab lagega ya fir tumhara kyu laga?
"
Rishav Ranaut(MnC) Roommate,"ma chuda <This message was edited>
"
Souvik IIT Patna MnC,"Tumhari aukaad nahi hai mere bandi se baat karne ka....
"
Souvik IIT Patna MnC,"Status pe nahi aate ho tum
"
Rishav Ranaut(MnC) Roommate,"haha aukaat <This message was edited>
"
Rishav Ranaut(MnC) Roommate,"tum kese milgye🤣
"
Ashish Mnc,"CR hai apne class ka
"
Ashish Mnc,"IIT Patna Mtech MnC
"
Rishav Ranaut(MnC) Roommate,"bsdk mene ye pucha tha bs ki sir meri hi lgi ya sbki lgegi wo attendance bale issue ki bajah se...ye ni bola sbki lgva do.... @917891273930 thanks ban lia smart
"
Ashish Mnc,"Usko kyu bich me larha
"
Suraj Kumar,"Ankit k birthday h bhai ladai nahi karo🙏
"
Shakti Singh Mnc,"Bhai @918917060666  udher he tha us se puch le🤣🤣
"
-- Raja,"+1
"
Rishav Ranaut(MnC) Roommate,"ha to bta de exact words
"
Rishav Ranaut(MnC) Roommate,"lawyer hai?
"
-- Raja,"Abehh...aise karega..toh party cancel kar dena..@918092038595
"
Rishav Ranaut(MnC) Roommate,"faltu kyu taunt kyu marte ..fir has dega heheheheh
"
Ashish Mnc,"Ye sb kuch bhi puchne ki zarurat hi nhi thi 
Bs ye puchna tha ki Krna kya hai TA duty me
"
Rishav Ranaut(MnC) Roommate,"tese puch ke puchuga ab
"
Rishav Ranaut(MnC) Roommate,"jaao tum log .
"
Ashish Mnc,"Nhi mere se kyu puchega
"
Rishav Ranaut(MnC) Roommate,"to fir mt de gyan
"
Rishav Ranaut(MnC) Roommate,"@917891273930 thanks again
"
Ashish Mnc,"Gyan tere ko lg rha
"
Shakti Singh Mnc,"Welcome bro🤣🤣
"
Ashish Mnc,"Leave it
"
Souvik IIT Patna MnC,"@919816668240 vai tereko taunt nahi kiya bas mazak kar raha tha
"
Souvik IIT Patna MnC,"Dost mazak nahi karenge toh kaun karenga... Serious mat le
"
Souvik IIT Patna MnC,"Tu bhi mazak kar
"
Rishav Ranaut(MnC) Roommate,"Mese mat kia kr
"
Souvik IIT Patna MnC,"Mazak kiya toh gali de diya yar
"
Rishav Ranaut(MnC) Roommate,"thanks mera mental peace ka ma chodne ke lie
"
Souvik IIT Patna MnC,"Mental peace kyu ma chudayega
"
Souvik IIT Patna MnC,"Take it playfully
"
Souvik IIT Patna MnC,"Tum bolne se hum logo ka TA duty nahi lagega... Jab kismat mein hoga lag jayega
"
Lucky MnC,"Tension mt le bkchodi k liye humlog available hai bhai😎
"
Manisha Jaishwal Mnc,"MnC ko nazr lg gyi h
"
Ashish Mnc,"Kaalu jaadu hogya hai
"
Manisha Jaishwal Mnc,"Kala*
"
Ashish Mnc,"Kala se bhi advance hai ye kaalu jaadu
"
Suraj Kumar,"<Media omitted>
"
Ashish Mnc,"Ye agya stickerbaaz
"
Suraj Kumar,"<Media omitted>
"
Sovan MnC,"NLP class he aaj?
"
Ashish Mnc,"No
"
Intaz Mnc,"<Media omitted>
"
Intaz Mnc,"Lol ho Gaya
"
Ashish Mnc,"😂
"
Intaz Mnc,"Juniors ko cse subjects Mila in exchange of these 10 ta
"
Intaz Mnc,"After diplomatic taks in between cse/math heads
"
Intaz Mnc,"To juniors ki lagate TA 😂
"
Intaz Mnc,"😂😂😂😂😂😂
"
Ashish Mnc,"Inhi 10 logo ki baat horhi thi 😂🤣
"
Intaz Mnc,"Haa
"
Lucky MnC,"Ye hai woh 10 log, ab darr ki koi baat nhi😂 <This message was edited>
"
Ashish Mnc,"Senior ab gaali denge
"
Intaz Mnc,"Sahi me phir DL liya bhi nai 😆😆
"
Lucky MnC,"Juniors kya raita faila diye tumlog😂
"
Ashish Mnc,"NLP liya hai na
"
Intaz Mnc,"Ha matlab halfway 😆
"
Suraj Kumar,"<Media omitted>
"
Ashish Mnc,"Intaz Bhai ye baat bahar nhi Jani chahiye
"
Lucky MnC,"mai toh seniors ka hi reference diya sbko... unko CSE subjects mile... aur hume nhi... Lo ab aa gya inka TA duty😂
"
Intaz Mnc,"😂😂
"
Intaz Mnc,"Are unko sab pata h
"
Ashish Mnc,"Tumhare junior ab tumhara reference denge 
Phir tumhara bhi TA duty lgega
"
Lucky MnC,"@917891273930  pehle hi DAPC mein unke liye subjects add krwa chuka rhega tb tk... ye sb jhamela nhi rhega
"
Ashish Mnc,"IIT Patna me jhamelo ki kami nhi
"
Lucky MnC,"pr ladkiyo ki kami hai
"
Shakti Singh Mnc,"Tbi unka TA duty lega h🤣🤣🤣
"
Shakti Singh Mnc,"Bhai aab to krna bi pdega nahi to apna bi ye he haal hona h🤣🤣🤣
"
Sovan MnC,"Kya matlab iske baad humara nam bhi aayega
"
Asutosh MnC,"https://www.instagram.com/reel/C1-5mvtKYgT/?igsh=MWxkZDhmN3N2aHU5dw==
"
Ankit Anand Mnc,"Sb aa jao neeche
"
Ankit Anand Mnc,"Chalte h
"
Mintu MnC,"<Media omitted>
"
Abhishek MnC,"Baithne ka tarika thoda casual h😂
"
Asutosh MnC,"<Media omitted>
"
Abhishek MnC,"This message was deleted
"
Ankit Anand Mnc,"@917903412729 Kaisa h tabyet???
"
Ankit Anand Mnc,"And Thank You so much ☺️ all MnC members for your wishes and love 🥰 !!! ❤️❤️❤️
"
Suraj Kumar,"🥳
"
Suraj Kumar,"Photo bej ankit
"
Suraj Kumar,"Or sovan
"
Sovan MnC,"<Media omitted>
"
Sovan MnC,"<Media omitted>
"
Sovan MnC,"<Media omitted>
"
Sovan MnC,"<Media omitted>
"
Sovan MnC,"<Media omitted>
"
Sovan MnC,"<Media omitted>
"
Sovan MnC,"<Media omitted>
"
Ankit Anand Mnc,"<Media omitted>
"
Ankit Anand Mnc,"<Media omitted>
"
Ankit Anand Mnc,"<Media omitted>
"
Ankit Anand Mnc,"<Media omitted>
"
Ankit Anand Mnc,"<Media omitted>
"
Ankit Anand Mnc,"<Media omitted>
"
Ankit Anand Mnc,"<Media omitted>
"
Ankit Anand Mnc,"<Media omitted>
"
Ankit Anand Mnc,"<Media omitted>
"
Ankit Anand Mnc,"<Media omitted>
"
Ankit Anand Mnc,"<Media omitted>
"
Ankit Anand Mnc,"<Media omitted>
"
Ankit Anand Mnc,"<Media omitted>
"
Ankit Anand Mnc,"<Media omitted>
"
Ankit Anand Mnc,"<Media omitted>
"
Ankit Anand Mnc,"<Media omitted>
"
Ankit Anand Mnc,"<Media omitted>
"
Ankit Anand Mnc,"<Media omitted>
"
Ankit Anand Mnc,"<Media omitted>
"
Ankit Anand Mnc,"<Media omitted>
"
Ankit Anand Mnc,"<Media omitted>
"
Ankit Anand Mnc,"<Media omitted>
"
Ankit Anand Mnc,"<Media omitted>
"
Ankit Anand Mnc,"<Media omitted>
"
Ankit Anand Mnc,"<Media omitted>
"
Ankit Anand Mnc,"<Media omitted>
"
Ankit Anand Mnc,"<Media omitted>
"
Ankit Anand Mnc,"<Media omitted>
"
Ankit Anand Mnc,"<Media omitted>
"
Ankit Anand Mnc,"<Media omitted>
"
Ankit Anand Mnc,"<Media omitted>
"
Ankit Anand Mnc,"<Media omitted>
"
-- Raja,"You deleted this message
"
-- Raja,"You deleted this message
"
Manisha Jaishwal Mnc,"Thik h ab
"
Lucky MnC,"<Media omitted>
"
Lucky MnC,"<Media omitted>
"
Lucky MnC,"<Media omitted>
"
Lucky MnC,"<Media omitted>
"
Lucky MnC,"mast mausam hai bhai😍
"
"Sujit MNC Das(Patna, Howrah)","<Media omitted>
"
Manisha Jaishwal Mnc,"Bekar h thandi nhi psnd
"
Manisha Jaishwal Mnc,"@918917060666 ye pic mst h insta me post krna
"
Abhishek MnC,"Bhola bhala lg rhe h 😅
"
Manisha Jaishwal Mnc,"Apne shadi k liye use krna phir ... Rista aayega
"
Manisha Jaishwal Mnc,"@917905298719 k liye BBQ 🤣🤣 roommate ko special treat
"
Ankit Anand Mnc,"Done ✔️
"
Abhishek MnC,"Sidha sadha dikh rhe h ..ladki pasand ni karegi
"
Manisha Jaishwal Mnc,"@917905298719
"
Manisha Jaishwal Mnc,"Hein ?? Aisa hota
"
Abhishek MnC,"Aree yr...TA duty me jitna kaam kr rhe h ..utna pure semester ni kiye htt
"
Abhishek MnC,"2:30 ka aaye huye h abhi tk kr rhe h
"
Manisha Jaishwal Mnc,"Shi me ?? Aisa kya krwa rhe yrr??
"
Abhishek MnC,"Excell sheet bharwa rhe h
"
Manisha Jaishwal Mnc,"🤣🤣 bolo time khtm hua hmara hme jne de
"
Manisha Jaishwal Mnc,"Kb chutti milegi vha se ??
"
Abhishek MnC,"At the end karna hamhi ko h
"
Manisha Jaishwal Mnc,"Rishav h n ??
"
Abhishek MnC,"Bola to tha 2-3 ghante ka kaam h 😂
"
Abhishek MnC,"Rishab lga hua h 🤣
"
Manisha Jaishwal Mnc,"Aur tum bhi lge huye ho🤣🤣
"
Abhishek MnC,"<Media omitted>
"
Abhishek MnC,"Ham kr ke baithe h 5 min se
"
Manisha Jaishwal Mnc,"Kro yrr jldi jldi aur niklo
"
Abhishek MnC,"Rishab ka wait kr rhe h
"
Manisha Jaishwal Mnc,"Wahh
"
Abhishek MnC,"Bahut slow h rishab
"
Manisha Jaishwal Mnc,"🤣🤣 first day at job
"
Manisha Jaishwal Mnc,"Aisa TA kisi ka na lge
"
Abhishek MnC,"2nd sem ka fees ni jma kiya hota to chhod deta mtech
"
Manisha Jaishwal Mnc,"@919971327753 better h Tera dekh itna kaam krwa k 400 mil rha
"
Manisha Jaishwal Mnc,"Areh yrr kr lo jda na socho ek din ka h
"
Abhishek MnC,"This message was deleted
"
Abhishek MnC,"Maar hoga ab🤣
"
Manisha Jaishwal Mnc,"🤣🤣
"
Manisha Jaishwal Mnc,"Vhi n
"
Khusboo,"U......
"
Abhishek MnC,"Abe delete kr😂
"
Manisha Jaishwal Mnc,"Gaali do thoda
"
Abhishek MnC,"Aree yrr padh li kya .😂
"
Manisha Jaishwal Mnc,"Ab kya ho gya
"
Khusboo,"Tu pitega mere se
"
Manisha Jaishwal Mnc,"Maro
"
Abhishek MnC,"Highlight kr di thi msg ko
"
Abhishek MnC,"Isi bahane aao iit
"
Manisha Jaishwal Mnc,"Party de dena
"
Abhishek MnC,"Or salary ka party deke jao
"
Abhishek MnC,"Wahi
"
Khusboo,"Le liyo zero degree me
"
Khusboo,"Ankit se lo BBQ
"
Khusboo,"Mere se zero degree me lena
"
Khusboo,"Milo phle tab to
"
Abhishek MnC,"Ye kya hota h ?
"
Manisha Jaishwal Mnc,"Aao yha
"
Khusboo,"Behh yaar
"
Khusboo,"Stipend lene🤣
"
Abhishek MnC,"Pakka restaurant ka naam hoga😂
"
Manisha Jaishwal Mnc,"Ha
"
Khusboo,"Hm Mast h wahan ka food
"
Abhishek MnC,"Kab aana h bta do
"
Khusboo,"Chlo sab mil ke ghumne
"
Khusboo,"Chutti lekar
"
Khusboo,"Khi trip par
"
Khusboo,"Tabhi le lena party udhar hi
"
Manisha Jaishwal Mnc,"Jda salary aa gyi kya ??
"
Khusboo,"Ni be
"
Khusboo,"Bt ghumne layak aa gyi h
"
Khusboo,"🤣
"
Abhishek MnC,"Ni ...tumhara stipend v judega usme
"
Manisha Jaishwal Mnc,"Abe abhi @919971327753 ko Dene do next time party lena mere se
"
Khusboo,"Internships ke baad lena isse
"
Khusboo,"Abhishek dega nic ka
"
Manisha Jaishwal Mnc,"Thik h chlenge do char din ki chutti hogi tb
"
Manisha Jaishwal Mnc,"Nikl gya ??
"
Khusboo,"Chinta na kro
"
Khusboo,"Hoga uska confirm
"
Abhishek MnC,"Ni hoga usme
"
Khusboo,"Bola tha mjhe ki bhut achha gya
"
Abhishek MnC,"Count kiya maine
"
Abhishek MnC,"Bahut kam number aa rhe h
"
Abhishek MnC,"36 40 68
"
Khusboo,"teen me se kisi me bhi ni
"
Manisha Jaishwal Mnc,"Sbka km hoga
"
Khusboo,"?
"
Khusboo,"What
"
Khusboo,"Itne Kamm aa rhe
"
Abhishek MnC,"Ha
"
Khusboo,"Jhooth bol rha na tu
"
Abhishek MnC,"Ni be
"
Manisha Jaishwal Mnc,"68 wala toh shi h
"
Khusboo,"Bhai main ek din ni padhi mere jyda h
"
Khusboo,"Ar tu bol rha itna kaam
"
Khusboo,"Ni na saale sab jyda lakar baithe h
"
Abhishek MnC,"Tum  tez ho
"
Khusboo,"Chup rho natak mat kro
"
Khusboo,"Sahi btao
"
Khusboo,"Litti khilao bihar se bhar walo ko tandhi me
"
Khusboo,"K done bta dena bas date nd place
"
Abhishek MnC,"Aree apti mera strong ni h
"
Abhishek MnC,"Usi ka khel tha
"
Manisha Jaishwal Mnc,"<Media omitted>
"
Manisha Jaishwal Mnc,"Mera bhi koi khas nhi h
"
Abhishek MnC,"Usse v ni hoga😂
"
Abhishek MnC,"Barc bhr diye h
"
Abhishek MnC,"Insta based shortlisting me ho jaywga..😂
"
Khusboo,"Kab h last date
"
Abhishek MnC,"H abhi date
"
Manisha Jaishwal Mnc,"Kya yrr 10 -10 kr k vacancy nikal rha ache se 40-50 nikal deta
"
Abhishek MnC,"Duty khatm😂 lkn kam abhi v h ..kal karenge ab
"
Manisha Jaishwal Mnc,"Areh yrr le aao room pr kr lena
"
Abhishek MnC,"Wahi bole sir ko ...maan gye
"
Manisha Jaishwal Mnc,"Shi h
"
Abhishek MnC,"Ha bahut kam hota h
"
Ashish Mnc,"Itna kya baat hogya?
"
Abhishek MnC,"Imp--yhi h bs ki tumo BBQ jaana h
"
Ashish Mnc,"Kon lejarha?
"
Abhishek MnC,"Seth ji
"
Ashish Mnc,"Oh my god
"
Abhishek MnC,"Bol dena tum ki..abhishek ke bina ham ni jayenge
"
Ashish Mnc,"Special treat hai kya mere liye🤣
"
Abhishek MnC,"Tumharw or manisha ke liye
"
Ashish Mnc,"😂🤣
"
Ashish Mnc,"Vo to gyi thi na kal?
"
Abhishek MnC,"Khayi ni thi
"
Ashish Mnc,"Uski galti hai vo to
Kbhi nhi khati vaise bhi
"
Ashish Mnc,"Aur isko BBQ le Jana paise barbad hai 😂
1 roti me pet bhar jata iska
"
Manisha Jaishwal Mnc,"Tmhara jna fix krwayi hu thank u bolo toh ulta burai kr rhe
"
Abhishek MnC,"<Media omitted>
"
Ashish Mnc,"Aree re 
Thank you so much
"
Manisha Jaishwal Mnc,"Kb aa rhe?? Ya makar Sankranti vhi mnana??
"
Ashish Mnc,"Monday aajaunga most probably
"
Manisha Jaishwal Mnc,"Acha
"
Manisha Jaishwal Mnc,"<Media omitted>
"
Abhishek MnC,"<Media omitted>
"
Rishav Ranaut(MnC) Roommate,"socha ni tha iit ake ye krna pdega bc
"
Rishav Ranaut(MnC) Roommate,"thak gya me to
"
Abhishek MnC,"Kr kr jaldi...11 bje deadline h kal😂
"
Rishav Ranaut(MnC) Roommate,"G1-20 HI BCHA HAI
"
Rishav Ranaut(MnC) Roommate,"BAKI TO KRDIA
"
Ankit Anand(MnC) Ranchi..Dost,"Tm to flash ban gaya 🙊
"
Rishav Ranaut(MnC) Roommate,"bhai bura lgrha hai pdhaai nhi hui aaj
"
Ankit Anand(MnC) Ranchi..Dost,"Ha bhai, pr ab load kam ho jaega
"
Ankit Anand(MnC) Ranchi..Dost,"Ek din ka hi ye dikkat tha
"
Rishav Ranaut(MnC) Roommate,"hmm dekte hain
"
Ankit Anand(MnC) Ranchi..Dost,"Ha ab sort karke print nikal ke de dena
"
Ankit Anand(MnC) Ranchi..Dost,"Bolna isi me attendance lijea
"
Ankit Anand(MnC) Ranchi..Dost,"Tm log ka fir load kam ho jaega
"
Rishav Ranaut(MnC) Roommate,"@918917060666 SORT MT KRNA TU
"
Rishav Ranaut(MnC) Roommate,"HAN
"
Rishav Ranaut(MnC) Roommate,"BOLUGA
"
Abhishek MnC,"M kuchh ni karunga ab ...sab tu karega
"
Rishav Ranaut(MnC) Roommate,"BS JO SHEET DI HAIN WO KRDE🤣🤣
"
Abhishek MnC,"Aise hi hasa kr ....kr dunga sab
"
Rishav Ranaut(MnC) Roommate,"😂😂
"
Rishav Ranaut(MnC) Roommate,"https://www.instagram.com/reel/C14lWemvP-H/?igsh=aXo4Y3Axa3UzZ283
"
Ashish Mnc,"<Media omitted>
"
Manisha Jaishwal Mnc,"Kaun sa le rhe??
"
Ashish Mnc,"Hoodie jb tk denge tb tk next winter aajayega
"
Manisha Jaishwal Mnc,"Ha
"
Lucky MnC,"<Media omitted>
"
Sovan MnC,"Ye Tshirt k saath bhi aisa hi kiya
"
Souvik IIT Patna MnC,"Thand jaane ke baad hoodie pehan ke ghumunga kya
"
Sovan MnC,"Paysa leta he. Phir apology k RR <This message was edited>
"
Asutosh MnC,"<Media omitted>
"
Asutosh MnC,"<Media omitted>
"
Asutosh MnC,"<Media omitted>
"
Asutosh MnC,"<Media omitted>
"
Asutosh MnC,"<Media omitted>
"
Asutosh MnC,"<Media omitted>
"
Asutosh MnC,"Jaldi aa jao sab
"
Abhishek MnC,"Pahuchte h
"
Manisha Jaishwal Mnc,"Kch nhi Mila hme
"
Manisha Jaishwal Mnc,"Bs Chole Bhatore
"
Abhishek MnC,"Fook lyf
"
Manisha Jaishwal Mnc,"Neel Gaye ki wajah se Security guard ki death ho gyi
"
Manisha Jaishwal Mnc,"Glti baccho ki thi
"
Manisha Jaishwal Mnc,"Uske piche bhag rhe the
"
Manisha Jaishwal Mnc,"Vo Neel Gaye Security guard pr chadh k chla gya
"
Manisha Jaishwal Mnc,"Death ho gyi
"
Manisha Jaishwal Mnc,"School wale bacche
"
Suraj Kumar,"Are yaar
"
dhruv MnC,"Are yr...bht glt hogya ye to..on the spot he ?
"
dhruv MnC,"Neel gay k paas nhi jana chahiye vo bht darte h ...tyohar k din kaise news h ye
"
Rishav Ranaut(MnC) Roommate,"https://youtu.be/L2bcbXa2ou4?si=xD3eSWFpFQyU5t_D
"
Ashish Mnc,"https://www.linkedin.com/posts/smsubham_maas-memeoftheday-activity-7152265624390356992-OlOY?utm_source=share&utm_medium=member_android
"
Manisha Jaishwal Mnc,"Ha
"
Manisha Jaishwal Mnc,"News 10 din phele ka h
"
Manisha Jaishwal Mnc,"Happy Lohri
"
Manisha Jaishwal Mnc,"Happy Makar Sankranti 🤣
"
Manisha Jaishwal Mnc,"Pongal wale koi nhi h ??
"
Manisha Jaishwal Mnc,"Bengali me Aaj kya bnta ??
"
Rishav Ranaut(MnC) Roommate,"happy lohri re
"
Manisha Jaishwal Mnc,"Pics hai ?? Toh bhejo Lohri ki
"
Rishav Ranaut(MnC) Roommate,"kahan ki
"
Manisha Jaishwal Mnc,"Lohri ghr ki
"
Rishav Ranaut(MnC) Roommate,"puchta hu agr click ki hain to
"
Manisha Jaishwal Mnc,"Ha
"
Rishav Ranaut(MnC) Roommate,"hmm\
"
Souvik IIT Patna MnC,"Puli and Pithe bante hai
"
Ashish Mnc,"phli baar naam sun rha
"
Souvik IIT Patna MnC,"Tum log bhi khaate hoge.. alag naam hoga
"
Souvik IIT Patna MnC,"Aur gur use karte hai usme, jaise Khajur ka gur aur Patali gur
"
Ashish Mnc,"ha gur aur chinni se hi to sb bnta
"
Souvik IIT Patna MnC," Godfathers Gur and Chini
"
Ashish Mnc,"Bengali people love sweet things😂
"
Souvik IIT Patna MnC,"🤣🤣🤣🤣🤣🤣
"
Souvik IIT Patna MnC,"Sweet girls
"
Ashish Mnc,"🤣😂
"
Manisha Jaishwal Mnc,"Hmare MnC walo ka bhala kro thoda
"
Ashish Mnc,"Phli baar kuch achcha socha hai hmare liye😂
"
Souvik IIT Patna MnC,"Tumhara bhi bhala karna padhega kya?
"
Ashish Mnc,"Ha Bhai
"
Souvik IIT Patna MnC,"Difficult task 🥲
"
Manisha Jaishwal Mnc,"Nhi nhi mai apna bhala kr lungi in sbo ka kr do
"
Ashish Mnc,"Ha difficult to hone vala hai
"
Ashish Mnc,"Atma-nirbhar Bharat
"
Souvik IIT Patna MnC,"Kash ladke bhi itna confidently bol paate
"
Manisha Jaishwal Mnc,"Bakiyo ka pta nhi tum toh bol hi skte
"
Sovan MnC,"https://youtu.be/f-rLva7_Adk?si=fIkmDPc5G6loiZcQ
"
Souvik IIT Patna MnC,"Nahi footi kismat hai meri
"
Lucky MnC,"<Media omitted>
"
Lucky MnC,"<Media omitted>
"
Manisha Jaishwal Mnc,"Aur kya hua udhr
"
Lucky MnC,"kaafi paarivaarik mahaul bna hua tha... mujhse dekha nhi jaa rha tha... toh mai hostel waapas aa gya
"
Manisha Jaishwal Mnc,"Smjh skti tumhara dukh
"
Ashish Mnc,"Dur kro uska dukh
"
Lucky MnC,"no class of DAA  on monday
"
Manisha Jaishwal Mnc,"@918839279483 pages le aana n vo stipend form wala
"
Manisha Jaishwal Mnc,"Aaj submit krna h
"
Manisha Jaishwal Mnc,"Class k baad krungi
"
Manisha Jaishwal Mnc,"Nah rhne do aise hi khush h vo jda dukhi nhi krna
"
Ashish Mnc,"room me hoga Sethji se mang lena @918839279483
"
-- Raja,"<Media omitted>
"
-- Raja,"Jisme possible hoga.. proxy maar dena..
"
Ashish Mnc,"+1
"
Manisha Jaishwal Mnc,"Phir bhi laptop khula h
"
-- Raja,"Band kar diya hai
"
Ankit Anand Mnc,"<Media omitted>
"
Ashish Mnc,"Dear Harsh

I  on leave today. Please inform the students that there is no class today.
"
Ashish Mnc,"No numerical optimization class for today
"
-- Raja,"Guys mera chicken pox ho gya hai..yaha pe rehne se spread ho jayega.... Hospital me bhi rehne se khaana achha nehi milega..toh mai Ghar ja raha hun...
"
-- Raja,"null
"
Souvik IIT Patna MnC,"Take care bro
"
-- Raja,"Agar ho sake toh please attendance Mark kar dena..for next 5 days.. Monday/Tuesday se mai classes attend karunga..
"
Souvik IIT Patna MnC,"Pehle thik toh ho jaao.... attendance ka chinta mat karo @918839279483
"
-- Raja,"Department ka attendance Mark dena please...mera pas koi option nehi hai isaliye Ghar ja raha
"
Souvik IIT Patna MnC,"Pehle thik ho ke aao
"
-- Raja,"Haa bhai..✌🏼
"
Abhishek MnC,"aas paas koi relative ni rahta h ?
"
Abhishek MnC,"Jaate jaate pura ho jayega
"
-- Raja,"Matlab
"
-- Raja,"Nehi samjha
"
-- Raja,"Raat ko 12 baje pauch jaunga
"
Abhishek MnC,"Kaha chl gya..lock lga h
"
-- Raja,"Nehi
"
-- Raja,"<Media omitted>
"
Abhishek MnC,"Chl thik h fir...
"
-- Raja,"10 min me nikla ..1:30 pe train...
"
-- Raja,"Auto wala 800 lega
"
Abhishek MnC,"Abe abhi train h magdh
"
Abhishek MnC,"Bihta se
"
Abhishek MnC,"Usi se pahuch jataa h
"
Abhishek MnC,"Or aaram se chhutti le le 10-15 din ka
"
Abhishek MnC,"4-5 din me thik ni hoga
"
-- Raja,"Abehh attendance ka cuth macha rakha hai issbar.. issliye daar lag raha...thik hote hi a jaunga
"
-- Raja,"<Media omitted>
"
Souvik IIT Patna MnC,"Yes bhai

.... Chicken Pox thik hone mein minimum 2 weeks lagte hai
"
Souvik IIT Patna MnC,"Register bahar hai... Chill
"
-- Raja,"Abehh..subh subh bol...
"
Souvik IIT Patna MnC,"Subh subh ka baat nehi... Facts
"
Souvik IIT Patna MnC,"Recovery time chahiye na sharir ko
"
Ashish Mnc,"Sahi bol rha
"
Ankit Anand(MnC) Ranchi..Dost,"10-15 days small pox me lagta h
"
Ankit Anand(MnC) Ranchi..Dost,"Chicken pox me min 21 din
"
Ankit Anand(MnC) Ranchi..Dost,"Raja ko Syd small pox h
"
Ashish Mnc,"Register bahar hai to Mera bhi maar dena
"
-- Raja,"Sayed
"
Ankit Anand(MnC) Ranchi..Dost,"Sbka laga dena @919830608824
"
Ankit Anand(MnC) Ranchi..Dost,"Fever h?
"
-- Raja,"Abehh.. differential equation aur lab ka daar hai
"
-- Raja,"Raat ko tha..101
"
Abhishek MnC,"Mere se roj baat karna phone pe dr khatm kr dunga😂
"
Ankit Anand(MnC) Ranchi..Dost,"Health se badh kar kuch nai hota
"
-- Raja,"+1
"
Ankit Anand(MnC) Ranchi..Dost,"Pehle tm thik ho jao
"
Souvik IIT Patna MnC,"Class mein hu... Sab eksath hi chalenge class ke baad.. sab ka lagega
"
-- Raja,"Bhai Tera Marne k lia sorry
"
Souvik IIT Patna MnC,"Open forum mein koi aise demands rakhta hai!
"
Ankit Anand(MnC) Ranchi..Dost,"Matlab?
"
-- Raja,"@919830608824
"
Souvik IIT Patna MnC,"Sorry nahi bolneka.. Marne ka paisa de dena
"
-- Raja,"Chill maar...jinda laut na hai..mereko <This message was edited>
"
Souvik IIT Patna MnC,"Gate 2024 nikal gaya toh nahi lautega
"
-- Raja,"Nehi de raha mai🤣🤣
"
-- Raja,"Nehi bhara
"
-- Raja,"Sujit de raha hai sirf mnc se sayed
"
Ankit Anand(MnC) Ranchi..Dost,"Abhishek, shakti
"
Ankit Anand(MnC) Ranchi..Dost,"Aur bhi log bhare h Syd
"
Abhishek MnC,"Bharne se kya hoga...isbaar 18000 rank aayega..😂
"
Ankit Anand(MnC) Ranchi..Dost,"180 bhi Aa sakta 🙊
"
Ankit Anand(MnC) Ranchi..Dost,"Shakti ko to iisc ai confirm h
"
Ankit Anand(MnC) Ranchi..Dost,"https://youtube.com/shorts/ZQW56LxQu60?si=013X_CeATR2Yk0Gl
"
Ankit Anand(MnC) Ranchi..Dost,"Aisa karna h kisi ko 🙊
"
Abhishek MnC,"Sponsored by sethji
"
Ankit Anand(MnC) Ranchi..Dost,"😂
"
Ashish Mnc,"Aree saala😂
"
-- Raja,"Abehh galat train time dekh lia..jaldi jaldi me
"
-- Raja,"Koi train nehi hai
"
Manisha Jaishwal Mnc,"Wapas aao
"
-- Raja,"Aise kaise a jau...
"
-- Raja,"Pura college ko pox ho jayega
"
Manisha Jaishwal Mnc,"Toh Aaj kitne bje h train ?
"
-- Raja,"6 baje.. asansol
"
-- Raja,"Fir 12 baje ka train pakad k subha 9 baje Ghar
"
Manisha Jaishwal Mnc,"Ooh
"
-- Raja,"Life is tough outside of IIT campus.
"
Manisha Jaishwal Mnc,"Areh aao yrr separate room lo request kr k ground floor pr
"
Manisha Jaishwal Mnc,"Do char din me thik ho jata
"
Manisha Jaishwal Mnc,"Ya rhne do ab toh jna hi h
"
-- Raja,"Itna easy nehi hai..yaar..jinko hua hai kabhi..unko pata hoga..
"
Abhishek MnC,"Time lagta h bhai..isbaar mt sun iski...😂
"
-- Raja,"Wha rehenese aur jyada time lag jayega
"
Abhishek MnC,"Mujhe to yhi lg rha h kaise jaywga tu
"
Abhishek MnC,"Ticket v ni hoga
"
Abhishek MnC,"Thand h
"
Abhishek MnC,"Time se sath pox badh v rha hoga
"
-- Raja,"Wohi.. tabiyat bigad raha hai...
"
Abhishek MnC,"Bus dekh le
"
Abhishek MnC,"Patna se hoga to
"
Abhishek MnC,"Seat v mil jayega
"
-- Raja,"Abhi mere samne ak fight hua..ak bande ka muhse khun nikal Diya maar k ak bande ne <This message was edited>
"
-- Raja,"Wohi kar raha
"
Abhishek MnC,"Sahi rhega
"
Manisha Jaishwal Mnc,"Ek week me thik ho jata
"
Manisha Jaishwal Mnc,"Hua h yrr sbko hota h ek baar
"
